Nominee,Emotion Type,Tweet
parks and recreation,positive,parks and rec fans were not happy about amy poehler's last emmy snub. #emmys2015
parks and recreation,positive,parks and rec fans were not happy about amy poehler's last emmy snub. #emmys2015
parks and recreation,positive,parks and rec deserved the emmy tonight. really disappointed to see them not get a win in the final season.
parks and recreation,positive,"i'm disappointed that amy poehler never won an emmy for parks and recreation, she really deserved it"
parks and recreation,negative,i'm literally so pissed i cannot believe parks and rec didn't win anything and now it's over i hate the fucking emmys
parks and recreation,negative,"so disappointed that amy poehler didn't win an emmy. she was so great in ""parks and rec"". #emmys2015"
parks and recreation,negative,highly disappointed that parks and rec didn't win an #emmy. such a great show and so sad that it's over !
peter dinklage,positive,@therealdaphne i'm so happy that peter dinklage won 2015 emmys for outstanding supporting actor. he's the best!
peter dinklage,positive,so happy for peter dinklage! one of my favorite actors! #emmys
peter dinklage,positive,@peter_dinklage congratulations and thank you.
peter dinklage,positive,#emmy #2. congratulations #peterdinklage for your work on #gameofthrones and thanks for raising #dwarfismawareness
peter dinklage,positive,congratulations peter dinklage! #gameofthrones via @skyserien. all #emmys2015 winners:
peter dinklage,positive,congratulations peter dinklage! game of thrones breaks emmy record via @ew
peter dinklage,positive,congratulations peter dinklage (tyrion lannister) and @gameofthrones for winning!
peter dinklage,positive,congrats to peter dinklage on that well deserved emmy win. got really showed up &amp; showed out in the winnings as...
peter dinklage,positive,congrats @peterdinklage1 on your emmy. well deserved.
peter dinklage,positive,"congrats @peter_dinklage, winner outstanding supporting actor in a drama series #emmys #gameofthrones"
peter dinklage,positive,congrats to got and the cast especially peter dinklageyou deserve itbest emmys ev [link removed]
peter dinklage,positive,congrats to got and the cast especially peter dinklageyou deserve itbest emmys
peter dinklage,negative,"but more than anyone, i'm disappointed in peter dinklage. you have an emmy, good sir. stop showing up in complete shit."
peter dinklage,negative,why game of thrones didn't deserve the emmy: peter dinklage won outstanding supporting actor in a drama series...
peter dinklage,negative,why game of thrones didn't deserve the emmy: peter dinklage won outstanding supporting actor in a drama series...
veep,positive,iam happy that veep (hbo) and mad men got the emmy in their respective categories (fuly deserving )
veep,positive,i too watched anna chlumsky jump up excitedly for each veep award and thought about how awesome she is
veep,positive,iam happy that veep (hbo) and mad men got the emmy in their respective categories (fuly deserving )
veep,positive,"congratulations on your #emmy, tony vale! #emmys #veep"
veep,positive,best supporting actor in comedy - .@mrtonyhale for .@veephbo #emmys2015 congratulations!
veep,positive,"congratulations on your #emmy, tony vale! #emmys #veep"
veep,positive,#veep is slowly but surely becoming one of my favorite tv shows. yeah congrats on those emmys but that's the real reward folks
veep,positive,"i'm so excited that @veephbo won outstanding comedy series at the #emmys!!! it's going to be the ""new must-see tv"" for @hbo!!!"
veep,positive,"#veep is one of my favouritest shows, so i am excited they won. but it was tough against #transparent #emmys"
veep,negative,ill never be disappointed when veep wins an emmy.
viola davis,positive,taraji p. henson happy to lose emmy to violadavis
viola davis,positive,super happy 2 c this viola davis gave the most powerful emmy awards acceptance speech of all time via @voguemagazine
viola davis,positive,viola davis sister: she is ecstatically happy with emmy win
viola davis,positive,not everyone is happy with viola davis emmy speech: #stoprush #uniteblue #p2
viola davis,positive,happy for @violadavis &amp; her emmy win. she's as talented as anyone out there. sad that some hate &amp; can't appreciate.
viola davis,positive,heres why #violadavis name-dropped these 6 talented actresses during her #emmys2015 speech so happy for her!!
viola davis,positive,.@violadavis' sister: she is 'ecstatically happy' with #emmy win
viola davis,positive,"'the universe is happy,' the actress told ellen degeneres. 'viola deserved that award'"
viola davis,positive,"'the universe is happy,' the actress told ellen degeneres. 'viola deserved that award'"
viola davis,positive,theyoungturks: not everyone is happy with viola davis emmy speech
viola davis,positive,not everyone is happy with viola davis emmy speech
viola davis,positive,not everyone was happy about #violadavis #emmys win. smh.
viola davis,positive,"""general hospital"" star nancy lee grahn criticized viola davis' emmy speech and twitter was not happy about it"
viola davis,positive,viola davis' sister: she is 'ecstatically happy' with emmy win - wpri 12 eyewitness news
viola davis,positive,happy to be interviewed by #cbs2news about @violadavis historic emmy win #proud @shondarhimes #changingthegame!
viola davis,positive,viola davis sister: she is ecstatically happy with emmy win
viola davis,positive,"happy for my girl #violadavis, but how sad that she's only the first black woman to win the best actress emmy. it's 2015...!! #emmys"
viola davis,positive,"""general hospital"" star nancy lee grahn criticized viola davis' emmy speech and twitter was not happy about it"
viola davis,positive,"so incredibly happy that @violadavis won last night. so well-deserved, and a beautiful acceptance speech. #emmys"
viola davis,positive,extremely happy for @violadavis &amp; her win at the emmy's. extremely sad that's it's 2015 &amp; a black woman is just now winning this award.
viola davis,positive,"happy and proud of ms viola davis for emmy win. but the fact that we are talking firsts and history making in 2015, is heartbreaking."
viola davis,positive,so happy for viola davis. bravo !
viola davis,positive,happy for @howtogetawayabchttp:// star @violadavis emmy win &amp; s2 on 24th
viola davis,positive,congrats viola davis on your history-making #emmy! so proud and happy. kudos to all....
viola davis,positive,so happy for @violadavis loved her in the help and jesse stone movies... now she finally gets credit for her awesome abilities! emmy 2015!
viola davis,positive,so happy to see the @violadavis win at the #emmys!! watch her powerful speech...
viola davis,positive,viola davis is just the best. so incredibly happy for her. she is excellent as annalise keating: #emmys2015
viola davis,positive,"so happy @violadavis won that emmy, it's sad that it's 2015 &amp; only now we have a black woman win best actress. hope it's the first of many."
viola davis,positive,super happy 2 c this viola davis gave the most powerful emmy awards acceptance speech of all time via @voguemagazine
viola davis,positive,happy for @violadavis &amp; her emmy win. she's as talented as anyone out there. sad that some hate &amp; can't appreciate.
viola davis,positive,not everyone was happy about #violadavis #emmys win. smh.
viola davis,positive,".@violadavis made #emmys history and gave an incredible speech, but not everyone was happy:"
viola davis,positive,"happy for my girl #violadavis, but how sad that she's only the first black woman to win the best actress emmy. it's 2015...!! #emmys"
viola davis,positive,i'm so happy she won #violadavis #emmys
viola davis,positive,viola davis gives stirring speech after historic win at 2015 emmys - video so happy; sad it took so long.
viola davis,positive,@violadavis congrats! big fan for years. happy to see you get proper recognition.
viola davis,positive,i am happy for @violadavis. it's too bad that her show (#howtogetawaywithmurder) is such a snooze....
viola davis,positive,"so incredibly happy that @violadavis won last night. so well-deserved, and a beautiful acceptance speech. #emmys"
viola davis,positive,".@violadavis made #emmys history and gave an incredible speech, but not everyone was happy:"
viola davis,positive,"so happy for @violadavis, so moved by her incredible speech. she got over that damn line: #emmys2015"
viola davis,positive,viola davis makes history at 2015 emmys via @msnbc @violadavis yes hunny work! so happy for you.
viola davis,positive,seo happy for him &amp; viola davis &amp; all the other winners!!! very kewl! #hellyeah #emmys #igottabeupin4hours! #ah...
viola davis,positive,happy for @howtogetawayabchttp:// star @violadavis emmy win &amp; s2 on 24th
viola davis,positive,congrats viola davis on your history-making #emmy! so proud and happy. kudos to all....
viola davis,positive,so happy to see the @violadavis win at the #emmys!! watch her powerful speech...
viola davis,positive,emmys: viola davis makes history as black actresses win big via @awardsline her speech made me so happy &amp; proud
viola davis,positive,"i am so happy for viola davis for winning best lead actress in a drama. 2015 and we are still waiting on many ""firsts."" #emmys2015 #emmys"
viola davis,positive,viola davis wins emmy awards 2015 congratulations well deserved!!!
viola davis,positive,congratulations to our friend and guest viola davis on her recent emmy win for how to get away with murder!...
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,congratulations to @violadavis on her outstanding work and achievement! #rolemodel
viola davis,positive,#stilltryingtogetoverthatline thank you and congratulations @violadavis for your emmy award
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,"congratulations to @violadavis on her emmy win for best actress, and her staggeringly important acceptance speech:"
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,congratulations @violadavis ---&gt;viola davis's emmy speech @nytimesarts #emmys2015 #hollywood #diversity #tv #film
viola davis,positive,diaporama : conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,"congratulations, @violadavis !!! you are amazing! - watch: viola davis makes history with emmy win"
viola davis,positive,congratulations @violadavis for winning best actress at the #emmys! #emmyhistory #awards
viola davis,positive,congratulations @violadavis. you are truly an inspiration!
viola davis,positive,congratulations viola davis wins lead actress drama series 67th primetime emmy awards 2015 via @youtube
viola davis,positive,congratulations to viola davis and all the emmy winners.... #connectthedots #llap #violadavis #gameofthrones #art
viola davis,positive,congratulations to viola davis on her historic win at the emmy's last night! #violadavis #representationmatters...
viola davis,positive,congratulations #violadavis the first black woman to win #emmy for best actress in a drama -http://t.co/5vo4ed1i98 #emmys #msvinad
viola davis,positive,diaporama : conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,"congratulations to the amazing @violadavis for her well deserved #emmy &amp; her heart-felt, powerful &amp; beautiful words.http://t.co/mxlc09e7ju"
viola davis,positive,a big #congratulations are in order for #violadavis - truly deserved this. it's been a long time coming!...
viola davis,positive,shocking that it's taken til 2015 for the first black woman to win best actress emmy. congratulations to @violadavis.
viola davis,positive,"congratulations, emmy winner viola davis!: via @raynettaman"
viola davis,positive,"congratulations emmy winner, viola davis, best actress in a drama ,2015 -how to get away with murder."
viola davis,positive,congratulations to viola davis on your emmy from the loretta mcnary tv show!!! well deserved!!!!
viola davis,positive,congratulations @violadavis! 1st african-american woman to win #emmy for best lead actress in tv drama series:
viola davis,positive,"congratulations @violadavis for your the emmy, so well deserved! speachless from your speach simply powerful &amp; true!"
viola davis,positive,congratulations viola davis! via @npr first black woman to win emmy for best actress in a drama
viola davis,positive,congratulations #violadavis on your historic emmy win! #caeworldwide
viola davis,positive,testimony of 2015. congratulations viola davis on your 2015 emmy win!
viola davis,positive,"congratulations to regina, uzo, and viola on their historic wins last night!"
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,cef says big congratulations to viola davis for making history as the first black woman to win an emmy award for...
viola davis,positive,congratulations to viola davis on her historic win at the 2015 emmy. did you have a chance to catch her speech?
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,viola davis creates history at emmy awards 2015. it was such an inspiring speech. congratulations @violadavis #emmys
viola davis,positive,congratulations to @violadavis and all 2015 emmy nominees and winners
viola davis,positive,"viola davis, tracy morgan find emmy love on social media: congratulations, #emmys! soci..."
viola davis,positive,congratulations to #violadavis on her emmy win . what an inspirational &amp; moving speech - definite #mondaymotivation
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,congratulations to htgawms viola davis on her historic emmy win!
viola davis,positive,congratulations to our dear friend (and custody co-star!) viola davis on her emmy win for outstanding actress in...
viola davis,positive,congratulations to @violadavis on her historic emmy win! via @timeculture
viola davis,positive,congratulations viola davis for...
viola davis,positive,"""the only thing that separates women of color from anyone else is opportunity."" | congratulations, @violadavis !"
viola davis,positive,congratulations #violadavis!! #trailblazer
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,congratulations @violadavis on her historic @emmy win: viola davis makes history w/ best actress win - abc news @abc
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,congratulations to the amazingly talented and beautiful viola davis on her emmy win! #emmys
viola davis,positive,congratulations violadavis i'm so proud of her! #browngirlsrock #congrats #emmy #2015
viola davis,positive,congratulations viola davis on winning emmy award! love you're speech and it was a powerful message that needed...
viola davis,positive,#historicwin heartfelt congratulations to viola davis: actress becomes 1st black woman to win lead actress in a...
viola davis,positive,congratulations to @violadavis and richard jenkins for their #emmy wins last night! get the details here: #401love
viola davis,positive,congratulations to the lovely viola davis for being the 1st black woman to win an emmy for best actress in a drama.
viola davis,positive,a powerful speech! congratulations viola davis on being the first african-american woman to win an emmy for...
viola davis,positive,"viola davis makes emmys history, dedicates speech to women of color | #congratulations"
viola davis,positive,viola davis speaks to all our hearts. congratulations! via @mashable
viola davis,positive,congratulations mrs viola davis! what a beautiful speech! and congrats to all the emmy winners
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,congratulations viola davis on winning your first emmy! i'm so very proud of you and i send you huge hugs!! love!!
viola davis,positive,congratulations to viola davis for winning the prime time emmy awards for leading best actress in a drama! her...
viola davis,positive,congratulations to viola davis and those that aspire to be like her.viola davis won the emmy for outstanding lead...
viola davis,positive,amazing words from emmy's winner viola davis. congratulations to one of the most inspiring woman of 2015
viola davis,positive,congratulations to viola davis the first black actress to win an emmy
viola davis,positive,congratulations to #viola davis for winning outstanding lead actress #emmy for #howtogetawaywithmurder!!! #htgawm
viola davis,positive,@violadavis this one's 4 u! thank u 4 who u are &amp; all that ur doing! congratulations - u earned it! #emmys2015
viola davis,positive,fotoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,emmys 2015 sincere congratulations to actress viola davis on her emmy win and
viola davis,positive,congratulations @violadavis - first black woman to win #emmy for best actress! well deserved.
viola davis,positive,congratulations to viola davis! 2015 emmy winner as outstanding lead actress in a drama...
viola davis,positive,a beautiful moment that no one should miss. congratulations #violadavis for making history.
viola davis,positive,"this is a huge step for hollywood. congratulations, viola davis!! #theemmys"
viola davis,positive,photo: 2015 emmy awards congratulations to viola davis on her emmy for outstanding lead actress in a drama...
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,congratulations to viola davis!
viola davis,positive,congratulations @violadavis! that win (and speech) will go down in #emmys history
viola davis,positive,yesss!!! congratulations!!! here's viola davis' powerful acceptance speech for best actress in a drama series #emmys
viola davis,positive,photoset: baronessvondengler: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as...
viola davis,positive,how to get away with making tv history: congratulations to #violadavis on 2015 emmy win &amp; classic acceptance speech!
viola davis,positive,congratulations to viola davis for making history as the first african american woman to win an emmy for lead...
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,"viola davis makes emmys history, dedicates speech to women of color #congratulations"
viola davis,positive,"congratulations! a winner, a fighter, and always classy @violadavis #emmys"
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,congratulations to #violadavis on winning the best actress in a drama emmy but it's a shame we still have first in 2015.
viola davis,positive,congratulations to viola davis!:
viola davis,positive,congratulations to viola davis! 2015 emmy winner as outstanding lead actress in a drama series for her lead
viola davis,positive,"congratulations to viola davis for winning the best actress, peter dinklage for winning best supporting actor at emmy's 2015 #aldubthetrials"
viola davis,positive,congratulations to viola davis just became the first black woman to win the best actress in a drama emmy and...
viola davis,positive,#historicwin congratulations viola davis: actress becomes 1st black woman to win lead actress in a drama series...
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,"congratulations, #violadavis! #blackgirlmagic"
viola davis,positive,congratulations to #violadavis! well deserved #emmy for such an oustanding job! #htgawm
viola davis,positive,photoset: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,set de fotos: conrad-ricamora-daily: congratulations to viola davis!2015 emmy winner as outstanding lead...
viola davis,positive,"congratulations @violadavis on your best actress emmy win! shame that there is still a ""first black person"" in 2015."
viola davis,positive,"congratulations to #violadavis 2015 emmy award winner. the epitome of class, grace, courage, presence"
viola davis,positive,"why has it taken so long usa? congratulations to viola davis: emmy history, first black woman to win for lead actress"
viola davis,positive,viola davis congrats on emmy win it was well deserved u should have won an oscar for the movie doubt u had 7m in doubt but u stole the show
viola davis,positive,@supacoolfool @whatadumbname @68lovinlif @crbs12 good:) still a little disappointed over our emmy lost (while still being happy for viola)
viola davis,positive,saw @nancyleegrahn tweet about @violadavis emmy speech &amp; thought it was a hoax. nope. disappointed too b/c i loved me some alexis on #gh.
viola davis,positive,"congrats on the emmy viola davis! @violadavis great show, so disappointed when the season ended.. @howtogetawayabc"
viola davis,positive,"@the_nendela @usa_love_fan since the rwc started,viola davis won an emmy &amp; kanye dressed people like hobos &amp; you say ""just""? #stuckonstupid"
viola davis,positive,'how to get away with murder' is one motherfucking crazy programme ....and i love it so much- i now understand why viola davis got that emmy
viola davis,positive,"@violadavis #love the new series, annalise is fabulous, congrats for the emmy viola, cheers"
viola davis,positive,@violadavis congrats to be the first black women to win an #emmy
viola davis,positive,@violadavis luv the show n congrats in the emmy#favactress
viola davis,positive,"@violadavis #love the new series, annalise is fabulous, congrats for the emmy viola, cheers"
viola davis,positive,congrats! ms viola davis historic win highlights incredible night 4 black talent at 2015 emmys - atlanta blackstar
viola davis,positive,"viola, you are so deserving of you emmy! congrats! just finished my ultra-binge of season 1 of htgawm! and now we are off for season 2 !"
viola davis,positive,"@violadavis congrats for your emmy winning, you so deserve this and many more. also i can't wait for the next #htgawm episode"
viola davis,positive,congrats to emmy award winning actress viola davis....best i a drama!
viola davis,positive,congrats! ms viola davis historic win highlights incredible night 4 black talent at 2015 emmys - atlanta blackstar
viola davis,positive,"@violadavis -congrats on the elegant statue and your elegant stature, particularly in your #emmys speech"
viola davis,positive,congrats @violadavis for winning emmys! so well deserved! #htgawm
viola davis,positive,"@violadavis congrats for your emmy winning, you so deserve this and many more. also i can't wait for the next #htgawm episode"
viola davis,positive,"@violadavis love your emmy speech , you deserve it!! proud of you!!"
viola davis,positive,@violadavis amazing i loved it......you deserve that emmy.
viola davis,positive,"@syipper viola definitely deserved that emmy.. shonda rhimes, kerry washington and taraji henson deserve praise as well #qualitytv"
viola davis,positive,"@violadavis congratulations on winning that emmy, you deserve it."
viola davis,positive,"viola davis deserve that emmy nfs , love the woman #htgawm"
viola davis,positive,@violadavis congratulations on your #emmy - you deserve it!
viola davis,positive,i loved the way #violadavis acted on the season 2 premiere of #htgawm . really you deserve all the emmys of the world @violadavis
viola davis,positive,congrats @violadavis!! you deserve it !!
viola davis,positive,@violadavis sending you love all the way from south africa. congratulations on your @televisionacad #emmys you deserve it. much love!
viola davis,positive,"@violadavis you deserve the sun, the moon, &amp; the stars! congrats! #emmys #htgawm"
viola davis,positive,yall. @violadavis won her emmy before this episode. before!!!!! excited for her next 12 emmys. @howtogetawayabc
viola davis,positive,i don't think i've ever seen someone so excited about having just lost an emmy as @therealtaraji was when @violadavis won. #emmys
viola davis,positive,i love how excited taraji got for viola when she won #emmys
viola davis,positive,twitter is excited about viola davis' historic emmys win - here's why the actress won the emmy for her portrayal o
viola davis,positive,@violadavis is captivating in her lead role. i'm so excited she won tonight!! #emmys
viola davis,positive,viola davis. annalise keating won. i'm excited to see htgawm again. #htgawm #emmys
viola davis,positive,so very excited that @violadavis won best actress! so incredibly well deserved! love the show! want more than 13 eps! please! #emmys
viola davis,positive,she won! so excited &amp; happy for @violadavis win! #emmys #history #sheearnedthis #truebeautyinsidenout #amazingwoman @howtogetawayabc
viola davis,positive,#emmys yasssss! my girl @violadavis won! so excited #iwokethehouseup congrats!
viola davis,positive,reading that @violadavis won these #emmys is making me more excited for @howtogetawayabc #tgit #htgawm #season2 #superexcied @shondarhimes
viola davis,positive,i am beyond excited that @violadavis won tonight!! i love her and #howtogetawaywithmurder!!! #emmys
viola davis,positive,my mother is so excited that @violadavis won best actress in a drama series because #htgawm is one of her favorite tv shows!!! #emmys
viola davis,negative,"i am so disappointed in #nancyleegrahn response to #violadavis emmy's speech: ""i've been schooled"" via @usweekly"
viola davis,negative,"i am so disappointed in #nancyleegrahn response to #violadavis emmy's speech: ""i've been schooled"" via @usweekly"
viola davis,negative,.@tonygoldwyn i'm sorry to say that i'm disappointed that you didn't see the need to congratulate/tweet @violadavis on her #emmy win!
viola davis,negative,very disappointed by nancy lee grahn's twitter comments about viola's emmy win. it speaks to her own bitterness about her profession.
viola davis,negative,i'm very #disappointed in #nancyleegrahn pissing on #violadavis' #emmy acceptance speech. but i'm not at all #surprised. #fakefeminism
viola davis,negative,@klgandhoda i'm surprised no mention of the powerful speech from viola davis. disappointed. #emmy's.
viola davis,negative,viola davis is a fine actress &amp; deserves the emmy. i'm just disappointed that the opportunity for women like us has taken so long.#emmy
viola davis,negative,to say that viola davis didn't deserve that emmy is an absolute lie.
amy schumer,positive,do happy that inside amy schumer won the emmy!! #emmy 2015
amy schumer,positive,"i'm so happy she won, by far my favorite emmys acceptance speech. congrats amy schumer!!! love ya @amyschumer"
amy schumer,positive,yeah! @amyschumer #funnyladies i'm so happy for this win #emmys2015
amy schumer,positive,"so happy for my fellow long island girl! congratulations, @amyschumer!"
amy schumer,positive,i'm so happy for @amyschumer and her #emmys win and her fab eye makeup! watch her hilarious acceptance speech here:
amy schumer,positive,"following her emmy win for outstanding variety sketch series, amy schumer received a heartfelt congratulations fro"
amy schumer,positive,check out @amyschumer's first #emmys! congratulations!
amy schumer,positive,"@amyschumer congrats on the emmy win girl, tho i still think you def should have won best supporting actor! lolol xoxo"
amy schumer,positive,and this is why we love #amyschumer:
amy schumer,positive,@amyschumer hey amy congrats again on the emmy. listen if u ever wanna sell it call me i know a guy.
amy schumer,positive,@amyschumer !!! congrats emmy winner!!!
amy schumer,positive,a huge congrats to our client @bratz for the amazing #emmys campaign. even @amyschumer got in on the fun!
amy schumer,negative,hi @amyschumer! you are #2 on who got robbed the most at emmys 2015?.
amy schumer,negative,hi @amyschumer! you are #2 on who got robbed the most at emmys 2015?.
regina king,positive,i've been on the phone but i cannot believe regina king won! i'm so happy for her! american crime is an amazing show! #emmys
